Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,6479
20200301,Aguascalientes,Hombre,15 A 24 AÑOS,Servicios Sociales,1262
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,Construcción,240
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,7055
20200301,Aguascalientes,Mujer,65 AÑOS Y MAS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",96
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,952
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",11729
20200301,Aguascalientes,Mujer,25 A 44 AÑOS,Industria Manufacturera,28709
20200301,Baja California,Hombre,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",11107
20200301,Baja California,Mujer,15 A 24 AÑOS,Gobierno y Organismos Internacionales,2116
20200301,Baja California,Mujer,15 A 24 AÑOS,No Especificado,2328
20200301,Baja California,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,8440
20200301,Baja California,Hombre,45 A 64 AÑOS,Gobierno y Organismos Internacionales,12963
20200301,Baja California,Hombre,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",26717
20200301,Baja California,Mujer,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",8047
20200301,Baja California,Hombre,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",32211
20200301,Baja California,Mujer,45 A 64 AÑOS,No Especificado,5844
20200301,Baja California,Hombre,25 A 44 AÑOS,No Especificado,28496
20200301,Baja California,Hombre,25 A 44 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",39691
20200301,Baja California,Mujer,15 A 24 AÑOS,Construcción,550
20200301,Baja California,Mujer,25 A 44 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",6818
20200301,Baja California,Hombre,45 A 64 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",14177
20200301,Baja California,Hombre,25 A 44 AÑOS,Industria Manufacturera,131114
20200301,Baja California,Hombre,65 AÑOS Y MAS,Restaurantes y Servicios de Alojamiento,1540
20200301,Baja California,Mujer,15 A 24 AÑOS,Servicios Sociales,9021
20200301,Baja California,Mujer,25 A 44 AÑOS,Comercio,70070
20200301,Baja California,Mujer,65 AÑOS Y MAS,Industria Manufacturera,124
20200301,Baja California,Hombre,25 A 44 AÑOS,Servicios Sociales,21973
20200301,Baja California,Mujer,15 A 24 AÑOS,Industria Manufacturera,30310
20200301,Baja California,Mujer,45 A 64 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",2027
20200301,Baja California,Mujer,65 AÑOS Y MAS,No Especificado,193
20200301,Baja California,Mujer,NO ESPECIFICADO,Restaurantes y Servicios de Alojamiento,230
20200301,Baja California,Hombre,25 A 44 AÑOS,Gobierno y Organismos Internacionales,19433
20200301,Baja California,Hombre,45 A 64 AÑOS,Industria Manufacturera,63159
20200301,Baja California,Mujer,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,1138
20200301,Baja California,Mujer,65 AÑOS Y MAS,Restaurantes y Servicios de Alojamiento,2128
20200301,Baja California,Mujer,65 AÑOS Y MAS,"Transportes, Comunicaciones, Correo y Almacenamiento",232
20200301,Baja California,Hombre,15 A 24 AÑOS,Construcción,10614
20200301,Baja California,Hombre,65 AÑOS Y MAS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",3823
20200301,Baja California,Hombre,65 AÑOS Y MAS,Servicios Sociales,1249
20200301,Baja California,Mujer,25 A 44 AÑOS,"Servicios Profesionales, Financieros y Corporativos",28242
20200301,Baja California,Hombre,15 A 24 AÑOS,Servicios Sociales,2853
20200301,Baja California,Mujer,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,24525
20200301,Baja California,Hombre,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,22355
20200301,Baja California,Hombre,15 A 24 AÑOS,Gobierno y Organismos Internacionales,1607
20200301,Baja California,Hombre,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",23402
20200301,Baja California,Hombre,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,2620
20200301,Baja California,Hombre,25 A 44 AÑOS,Servicios Diversos,39845
20200301,Baja California,Mujer,25 A 44 AÑOS,Servicios Sociales,46467
20200301,Baja California,Mujer,45 A 64 AÑOS,Industria Manufacturera,48239
20200301,Baja California,Hombre,15 A 24 AÑOS,No Especificado,7038
20200301,Baja California,Hombre,15 A 24 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",7301
20200301,Baja California,Mujer,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",15913
20200301,Baja California,Mujer,65 AÑOS Y MAS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",782
20200301,Baja California,Mujer,65 AÑOS Y MAS,Servicios Diversos,4140
20200301,Baja California,Hombre,45 A 64 AÑOS,Comercio,50986
20200301,Baja California,Mujer,15 A 24 AÑOS,Servicios Diversos,10572
20200301,Baja California,Mujer,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,378
20200301,Baja California,Mujer,45 A 64 AÑOS,Servicios Diversos,35453
20200301,Baja California,Mujer,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",759
20200301,Baja California,Mujer,15 A 24 AÑOS,Comercio,24406
20200301,Baja California,Mujer,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",1417
20200301,Baja California,Hombre,15 A 24 AÑOS,Industria Extractiva y de la Electricidad,368
20200301,Baja California,Hombre,65 AÑOS Y MAS,Servicios Diversos,2912
20200301,Baja California,Hombre,NO ESPECIFICADO,"Transportes, Comunicaciones, Correo y Almacenamiento",332
20200301,Baja California,Hombre,65 AÑOS Y MAS,No Especificado,1727
20200301,Baja California,Hombre,65 AÑOS Y MAS,"Transportes, Comunicaciones, Correo y Almacenamiento",1789
20200301,Baja California,Mujer,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,19918
20200301,Baja California,Mujer,25 A 44 AÑOS,Construcción,1907
20200301,Baja California,Mujer,65 AÑOS Y MAS,Servicios Sociales,1880
20200301,Baja California,Hombre,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",9400
20200301,Baja California,Hombre,15 A 24 AÑOS,Servicios Diversos,12704
